,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
Peg10,0.69731724,0.7443386,0.76842004,0.88280725,0.8204125,0.9028755,0.76275325,0.7513398,0.9144925,0.62164146,0.9048093,0.78075814,0.7536774,0.8742588,0.840547,0.9323638,0.7823037,0.71396,0.9182775,0.67949903,0.8025949,1,0.8917295,0.6442096,0.80732244,0.9045167,0.79056096,0.5886388,0.80181336,0.42173716,0.7568846,0.747317,0.8178688,0.80498135,0.7611429,0.8630567,0.6420176,0.69886225,0.5714903,0.7243302,0.81411123,0.66389036,0.71190846,0.5760484,0.7976484,0.5913502,0.7835925,0.9008842,0.73124087,0.7772674,0.7047683,0.63398004,0.8124375,0.7524682,0.9312428,0.76211584,0.6902184,0.79351074,0.7812029,0.71737975,0.84791917,0.73197836,0.88960177,0.43478924,0.661834,0.35366043,0.7818383,0.7701253,0.7481315,0.9337754,0.77297467,0.85498506,0.66408336,0.83754003,0.70385814,0.8472563,0.85600346,0.74106807,0.79276514,0.66810423,0.68814147,0.6429577,0.7196634,0.7213811,0.64837044,0.8238941,0.79551804,0.7037364,0.9091593,0.8845503,0.83227533,0.89592826,0.8594869,0.99758774,0.98559034,0.8808098,0.8692888,0.75256664,0.7690785,0.86106116,0.81229305,0.86773616,0.893066,0.87770635,0.7926533,0.60064113,0.85974944,0.8085913,0.54790074,0.8714453,0.5133092,0.52679855,0.653493,0.8540261,0.65998566,0.87345105,0.9192361,0.80042785,0.5837347,0.8630482,0.7624963,0.86293155,0.6797763,0.8938001,0.75729984,0.83443123,0.7447648,0.7327846,0.8236962,0.91521096,0.91781616,0.7517042,0.8665083,0.77927303,0.8332172,0.89577216,0.62378335,0.8061006,0.96237135,0.8057069,0.79665595,0.90244377,0.7122535,0.7960657,0.7847388,0.73202544,0.626572,0.7610031,0.888835,0.8473666,0.8852926,0.7098753,0.2116775,0.823663,0.55370104,0.7786467,0.4077975,0.8909214,0.70520777,0.50292397,0.7600862,0.859876,0.9503848,0.89485264,0.85292834,0.91421413,0.9113658,0.86030185,0.8417747,0.8924246,0.87389576,0.90986246,0.9175106,0.8540501,0.8935648
Lin28a,0.8245114,0.81962466,0.8943226,0.8825017,0.8181765,0.9078764,0.9197562,0.90197897,0.8637447,0.8883993,0.82116205,0.76416165,0.7515688,0.9161538,0.9016583,0.83831954,0.9200209,0.90935546,0.8551314,0.8612968,0.81962156,0.8245014,0.79368544,0.8547785,0.9244998,0.86067295,0.84395677,0.81524175,0.49276668,0.7692406,0.8699302,0.8714833,0.7932383,0.62374157,0.76046294,0.8042169,0.83241034,0.8366503,0.83721817,0.8598158,0.8480702,0.8604485,0.91000646,0.74148047,0.89741266,0.7827855,0.8284827,0.77099097,0.8926847,0.86639476,0.845235,0.73206526,0.8417726,0.86324525,0.8164032,0.75862384,0.86350495,0.83136094,0.8514641,0.83584315,0.8284237,0.8658286,0.76549107,0.81408364,0.87650424,0.8120398,0.825831,0.74237525,0.9051914,0.49867308,0.7676386,0.794729,0.8863789,0.78992105,0.9336015,0.8472563,0.9343906,0.7777021,0.88873,0.87087655,0.93915296,0.8427756,0.8998438,0.856886,0.8296593,0.8275762,0.816115,0.7590693,0.62319344,0.7573811,0.7472147,0.74066573,0.8670532,0.8302735,0.8177983,0.83237803,0.621362,0.8293276,0.80764484,0.8751677,0.8624436,0.8399636,0.8775649,0.87823766,0.8722659,0.9002938,0.7458968,0.8041035,0.9096252,0.8472813,0.803099,0.655216,0.9197089,0.7975787,0.92620796,0.6932032,0.89666027,0.8248721,0.7173321,0.8079279,0.79936236,0.8219355,0.8573203,0.8547801,0.91676974,0.89240205,0.8948427,0.8754789,0.854855,0.9077913,0.88279474,0.86508906,0.8852674,0.828659,0.8896876,0.89205873,0.88061905,0.7010032,0.8773245,0.90311277,0.7767967,0.9041651,0.7989354,0.8202202,0.8770336,0.9009896,0.80393004,0.85344654,0.8341711,0.788778,0.85112786,0.9070998,0.7595366,0.80193245,0.79643923,0.8742703,0.7308229,0.84755987,0.7744375,0.71680164,0.7813355,0.8219497,0.7748221,0.8864279,0.8488746,0.74090517,0.86654574,0.8436081,0.8525325,0.8767527,0.8821038,0.85394996,0.8798128,0.88789576,0.85035276
Jade1,0.76153785,0.7355408,0.75913113,0.745513,0.73480505,0.7031597,0.80462164,0.76659703,0.7934493,0.7143221,0.77789366,0.66469085,0.70640534,0.76254797,0.8001095,0.81567264,0.82586586,0.8464621,0.78938955,0.7734942,0.74710816,0.74661684,0.8650993,0.80320346,0.8459772,0.79660755,0.7858255,0.8011074,0.6905458,0.76543057,0.7922335,0.7992281,0.71163267,0.73633844,0.7618194,0.73251325,0.8016386,0.78294957,0.84524465,0.73934436,0.80617744,0.8311277,0.81124765,0.7226915,0.80676126,0.7827855,0.82062286,0.7532978,0.78907084,0.7676033,0.82998437,0.792429,0.8291648,0.7693136,0.7715904,0.8297683,0.8007038,0.82391566,0.81614995,0.72598755,0.779556,0.80229336,0.7258373,0.69411975,0.8245826,0.79667115,0.69268453,0.75264186,0.7929477,0.69566166,0.7990152,0.77616185,0.75871855,0.7560825,0.7787827,0.7851738,0.789768,0.7266448,0.7328506,0.7325149,0.80299556,0.7990501,0.814605,0.7606708,0.7986548,0.78074515,0.75209206,0.83359975,0.7041657,0.727242,0.77190447,0.7187803,0.84442115,0.8282496,0.78643656,0.6579915,0.736289,0.78735363,0.80764484,0.687373,0.8089606,0.7647256,0.82121,0.8260988,0.75607973,0.8298345,0.78718317,0.731312,0.6192894,0.7414835,0.7694985,0.8152635,0.77191263,0.7554613,0.7160227,0.6701403,0.7634505,0.77934796,0.80956805,0.77501065,0.76341313,0.73322904,0.7920181,0.77240264,0.8325471,0.8318595,0.8115865,0.7688076,0.81552523,0.7875406,0.7685047,0.7929851,0.7408447,0.7800675,0.74996406,0.81856686,0.7280765,0.79389215,0.71977586,0.77841324,0.77856636,0.83865076,0.6836169,0.80666316,0.7838522,0.80960935,0.74286395,0.74050754,0.7589185,0.7748968,0.80598867,0.7835965,0.7944169,0.734474,0.7685523,0.7439179,0.7982615,0.7713395,0.751559,0.7368931,0.76545656,0.688471,0.81879145,0.72103196,0.78827274,0.70763206,0.81713176,0.78374296,0.7629828,0.75266576,0.695387,0.73488384,0.7062242,0.76223177,0.7953307
Mdm2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plk1,0.74771667,0.7534934,0.6525502,0.7102466,0.69109637,0.7031597,0.7226236,0.68462193,0.5147584,0.785187,0.7357138,0.73310375,0.7258402,0.7753154,0.7569143,0.5859818,0.71398133,0.74563783,0.61657745,0.8089273,0.78095615,0.37654784,0.71418005,0.585371,0.72360235,0.5502655,0.73657906,0.419162,0.49276668,0.6093868,0.7908108,0.7823869,0.7173373,0.6465856,0.62429297,0.67689604,0.79914826,0.7118412,0.7920536,0.68115926,0.6116074,0.59292525,0.63918984,0.62691194,0.5969306,0.66106987,0.6265628,0.638869,0.6570479,0.7783004,0.7974409,0.5414671,0.6397578,0.6667201,0.6848298,0.68605524,0.7463394,0.63639367,0.6115594,0.56004685,0.7557178,0.6246625,0.8093285,0.6118791,0.67784345,0.6522594,0.5490066,0.6411625,0.57108504,0.6898071,0.7227239,0.6199548,0.53486043,0.7700469,0.6163918,0.798,0.68689036,0.48404062,0.5129209,0.74112546,0.61947024,0.60094875,0.5151596,0.60084623,0.7504762,0.6981636,0.5950107,0.45105347,0.7480476,0.47497964,0.6834645,0.50553626,0.7120575,0.7131245,0.716798,0.7438646,0.55927825,0.74497676,0.74495095,0.77072495,0.7554832,0.7022684,0.7223347,0.6806453,0.66437846,0.59230334,0.74412715,0.71986276,0.61554676,0.6993841,0.5822378,0.6182407,0.5143403,0.77166826,0.6297703,0.68929535,0.76776135,0.72860867,0.65954787,0.6122511,0.71051663,0.7505313,0.70976275,0.651,0.75243616,0.7708988,0.6445947,0.6517373,0.74949104,0.64621276,0.5964694,0.71594834,0.66049653,0.61383504,0.7110276,0.70534337,0.7709621,0.7645363,0.54735565,0.6461356,0.78117865,0.74083483,0.5709408,0.6703374,0.6645042,0.7088243,0.6420522,0.7185076,0.6689156,0.7164817,0.65257996,0.7463154,0.7421701,0.717175,0.75022995,0.53537655,0.5048101,0.59905034,0.48067254,0.5499321,0.4602137,0.61457795,0.6965541,0.62931937,0.54516226,0.70763206,0.7142851,0.6228766,0.53454727,0.6231529,0.53903747,0.7033803,0.76733303,0.69513994,0.5809344
Aebp2,0.6837254,0.62301254,0.6781758,0.70007885,0.6294113,0.63124776,0.62656,0.68462193,0.6666184,0.6781911,0.66778696,0.6414632,0.69221133,0.62797934,0.6572211,0.68076533,0.7014562,0.72424996,0.73347235,0.65333223,0.6504174,0.5612254,0.6751242,0.6149374,0.65056187,0.67226785,0.64679193,0.6487143,0.81223565,0.76413643,0.67007315,0.674043,0.6824697,0.7181254,0.6872187,0.6524466,0.62720704,0.6942441,0.63904124,0.70134646,0.65652806,0.55410403,0.6667627,0.7121738,0.65487415,0.6467708,0.715778,0.71073663,0.6977859,0.6576926,0.6786497,0.6525126,0.6513988,0.6636202,0.6474834,0.65132546,0.67098963,0.67484033,0.6538953,0.69575846,0.77897906,0.70333576,0.6336062,0.6882104,0.65124536,0.69008476,0.657008,0.69614995,0.6824351,0.68576187,0.70359915,0.6594629,0.6683789,0.6805641,0.6615104,0.6488639,0.6205009,0.5228694,0.6736886,0.62122524,0.68373084,0.68017805,0.67665917,0.640834,0.575056,0.6334478,0.5347491,0.552829,0.6016196,0.77568567,0.6740907,0.7792861,0.6409531,0.5465312,0.5877001,0.5453508,0.69080967,0.6593584,0.74495095,0.5900535,0.643933,0.609566,0.6015552,0.65147716,0.6337611,0.6913677,0.63058484,0.6951149,0.7188663,0.63560927,0.771546,0.70793504,0.66920435,0.7482412,0.65998566,0.42592505,0.57829374,0.6645279,0.65711564,0.6031121,0.66266805,0.6457443,0.63394034,0.5978896,0.69288826,0.6967351,0.6369052,0.6659447,0.62694347,0.5900865,0.6307116,0.75853205,0.5891425,0.65796185,0.65860194,0.5855325,0.65425366,0.65290076,0.6232291,0.54609036,0.71048427,0.61337644,0.67956007,0.7133234,0.6026226,0.57237667,0.49303335,0.7610031,0.6489399,0.65637726,0.65036565,0.74183744,0.71101606,0.6344785,0.65942985,0.6445543,0.7855648,0.6044378,0.75920516,0.75533015,0.7462542,0.671757,0.6922247,0.6477173,0.7355181,0.6242505,0.5980739,0.5358,0.6300048,0.6479024,0.636711,0.57966197,0.5777497,0.6371161,0.6157395
Tbx3,0,0.19563198,0,0,0.31255272,0.23508143,0,0.174645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30872315,0,0,0,0,0.39490765,0,0.4161459,0,0,0.20777413,0,0.23713794,0.39841506,0,0,0.40872326,0.18299393,0.5093074,0.2693458,0,0.28209817,0,0,0,0.3306942,0,0.19974251,0,0,0,0,0,0.17497534,0,0,0.30456272,0.16322432,0,0,0.24645849,0.20022841,0.16454121,0,0,0.35142756,0,0,0.3810874,0.15466997,0.18981631,0,0.23454939,0.16705416,0,0,0,0.23513901,0,0,0,0.16028257,0,0,0.14826055,0,0,0.40569842,0.42165002,0.37331182,0.4259949,0,0.25982156,0.30768612,0,0.55927825,0.13839045,0,0,0,0,0.12651505,0.40039814,0.21662772,0,0.1334566,0.59229404,0,0.13579416,0.41602892,0.20390122,0,0.50927335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17653644,0,0,0,0.23323695,0.19491473,0,0.3121326,0,0,0,0,0,0,0,0.2424017,0.2195925,0,0,0,0.4333228,0,0,0,0,0,0,0,0.23553632,0,0,0,0.2591411,0.1587421,0.12672025,0.6427487,0,0.50526744,0.474898,0,0,0.23398751,0.1912617,0,0,0.11807869,0,0.2678341
Dnmt3a,0.6671449,0.6847959,0.6920295,0.57690865,0.5503389,0.71261805,0.52219456,0.76394635,0.6091773,0.63369864,0.614865,0.4170735,0.4357989,0.5835893,0.54557407,0.609756,0.59263414,0.6100113,0.67240185,0.4415586,0.519917,0.5153157,0.6371574,0.4491824,0.57779217,0.6507296,0.61757094,0.46824336,0.20679888,0.62475014,0.54144835,0.6057714,0.4181828,0.36827573,0.4936608,0.5734943,0.6179551,0.5736208,0.7327313,0.6088184,0.55926245,0.73039573,0.6254246,0.4268888,0.6115942,0.4873416,0.58244544,0.5469754,0.6094416,0.6695481,0.7409071,0.3391957,0.37284297,0.58520734,0.5713683,0.5737521,0.64153475,0.5873976,0.6004823,0.6168719,0.40833354,0.53845435,0.43223533,0.5709592,0.79332757,0.42978433,0.78046626,0.56100905,0.63301146,0.39847127,0.5350891,0.66773134,0.67254096,0.5204356,0.63754517,0.6327506,0.7269137,0.57109034,0.55161357,0.710843,0.6619583,0.5488031,0.42152932,0.55371624,0.5419298,0.57819617,0.7210887,0.60882473,0.393203,0.51869833,0.52185565,0.4550902,0.41994548,0.72210777,0.67132163,0.55642873,0.49232188,0.51103187,0.67908305,0.41964605,0.7434219,0.59387165,0.66320723,0.7755022,0.49248466,0.80015445,0.30229202,0.5383055,0.8124498,0.5459585,0.6637379,0.57374173,0.8321127,0.5267036,0.8190965,0.5157551,0.45561886,0.70712674,0.47963038,0.6627203,0.43534106,0.39277834,0.64351404,0.54172385,0.73946166,0.77388895,0.56523323,0.5556452,0.36939448,0.51059276,0.48073992,0.5212921,0.57238203,0.70840824,0.50594574,0.6084968,0.62378335,0.5215423,0.82765865,0.6595969,0.63272476,0.6318036,0.6894786,0.6722011,0.6026226,0.6425487,0.47243348,0.52574974,0.71152306,0.39801005,0.7489163,0.76480764,0.48676372,0.24018776,0.5327708,0.75377196,0.47229734,0.39530233,0.6250236,0.5090352,0.5751194,0.58771557,0.4205654,0.6442271,0.5615722,0.5296288,0.47555354,0.6024299,0.7629828,0.4872995,0.70283854,0.7162154,0.78478223,0.44935396,0.84528846
Esrrb,0.2653952,0.7561247,0.57329243,0.2316681,0.7623058,0.28121674,0.69177246,0.6431097,0.48115388,0.115207106,0.68716204,0.44519258,0.4357989,0.62797934,0.645104,0.5402803,0.4912482,0.4376219,0.5201868,0,0.25098202,0,0.50821036,0.5071266,0.51440257,0.35952494,0.7205512,0.39730144,0.5485072,0.741552,0.60453296,0.61708534,0.5620858,0.76597357,0.73586434,0.69308895,0.7259476,0.6684479,0.5775687,0.72564626,0.6253898,0.64788437,0.65561974,0.44013587,0.5916687,0.4721447,0.572603,0.62901014,0.5986659,0.44113946,0.60118634,0.48195842,0.64570194,0.56732744,0.66475534,0.19148298,0.5298166,0.55404013,0.6282288,0.5093832,0.6749959,0.67461085,0.27712864,0.7219107,0.5808482,0.7816535,0.7075521,0.78645205,0.56299746,0.8365681,0.65648335,0.58989656,0.49520403,0.6938075,0.72453964,0.41175336,0,0.35982862,0.6641194,0.21380274,0.76849407,0.5906352,0.70281965,0.60785085,0.43944153,0.261024,0.3608593,0.46572235,0.85002315,0.7804949,0.7004586,0.7640583,0.6163322,0.6496642,0.6555019,0.13412446,0.83555394,0.70819503,0.45656413,0.24159376,0.62208056,0.66537595,0.6992506,0.6459611,0.21662772,0.41419572,0.59513706,0.7974304,0.36236125,0.60601896,0.44191295,0.7238901,0,0.7297638,0,0.5359494,0.2795751,0.76636946,0.6915419,0.4999555,0.7196259,0.4952024,0.64351404,0.51401746,0.31334946,0.45943424,0.6695056,0.58305675,0.5068793,0.33119386,0.43253437,0.6990852,0.31865048,0.7110913,0.26455352,0.3995073,0.5559408,0.3356894,0.64806193,0.71775204,0.50817084,0.20199856,0.6987067,0.6387416,0.67488045,0.6919699,0.6050736,0.7088412,0.5905476,0.6440303,0.6922573,0.15110826,0.7325659,0.66955507,0.632896,0.6007351,0.7870353,0.33165693,0.7949914,0.7706907,0.76960444,0.6044499,0.7748221,0.49399754,0.67362803,0.474898,0.7030457,0.62662685,0.60380626,0.5178472,0.8308681,0.73680645,0.6722808,0.69513994,0.7311525
Myh9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otx2,0.6996477,0.23975454,0.6068156,0.6477688,0.23116429,0.6225534,0.16976206,0.7066314,0,0.71249896,0.6114248,0.7033174,0.71647954,0.13858396,0.41783044,0,0.50544274,0.49159244,0,0.48320967,0.71158785,0,0.5658845,0.1874262,0.39323375,0.27673292,0.27195403,0.2157696,0.20679888,0.17647332,0.5116791,0.5287182,0.22360697,0.38154197,0.64337295,0.37692377,0.6316064,0,0.7457343,0.29572064,0.57274485,0.68700427,0,0.1748403,0.3158129,0.22049128,0.70853406,0.6450609,0,0.5138563,0.42326164,0.42236263,0.5699761,0.26638532,0.6871432,0.71454835,0.5966756,0.69838476,0.6430797,0.7128629,0.29291126,0.6951243,0.44112006,0.28365597,0.6716624,0.16893628,0.65356904,0,0.26144204,0.22809038,0.5899213,0.34668645,0.33889946,0.6184493,0.16705416,0.555117,0.683946,0,0.31735444,0.64457875,0.23170371,0,0.50735825,0,0.15852216,0.4579959,0.25340793,0.20874433,0.478446,0.35236114,0,0,0.1743939,0.5741153,0.52694744,0,0.49232188,0.35172483,0.7690785,0,0.6579154,0.27589113,0.12651505,0.6692248,0.4790749,0.6194773,0.35994387,0.23802388,0.56553787,0.24583606,0.36449566,0.5922041,0.631838,0.46599492,0.49299082,0.6504507,0,0.67190415,0.4969986,0.6031121,0,0,0.4549666,0.40558997,0.65320677,0.71894604,0.39879006,0.63586944,0.098964974,0.54031986,0.6404435,0.1249842,0.5992454,0.38125387,0.52327096,0,0.7452529,0.69584316,0.7138695,0.1508059,0.70607454,0,0.35046458,0,0,0,0,0,0.6987628,0.13204812,0.5226238,0.7098753,0,0.5114265,0.5801466,0.64185554,0,0,0,0,0,0,0,0.41121826,0.52660906,0.6944949,0.5099878,0,0.6834191,0.1912617,0.61111677,0.55978674,0.36916754,0.54617417,0.7628455
Eef2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97152627,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9912242,1,0.98925877,1,1,0.9915288,1,1,1,1,1,1,0.96947527,1,1,1,1,1,1,0.981229,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98855263,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9969733,1,1,0.9906246,1,1,1,0.99512994,1,1,0.9937181,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9967727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99416864,1,1,1,0.9963216,1,1,1,1,1,0.99097705,0.9935904,1,1,0.9512167,1,1,0.9729408,1,0.9961133,1,1,1,0.96137565
Ctgf,0.7219543,0.7489925,0.68665725,0.8113724,0.6832407,0.38440862,0.7665654,0.69385415,0.6352414,0.7029935,0.614865,0.5337122,0.5777614,0.85944813,0.8844303,0.7202677,0.71398133,0.6928346,0.6052149,0.19238172,0.5890348,0.79492706,0.6945592,0.5348247,0.82335436,0.61214113,0.8306844,0.5033638,0.6301205,0.73844516,0.63904524,0.6666765,0.5431279,0.2698721,0.516121,0.8336182,0.7062448,0.6942441,0.6870325,0.78691316,0.77337044,0.64788437,0.71694034,0.617559,0.70501965,0.49433312,0.4707025,0.60681194,0.7490887,0.59626544,0.6747647,0.36564562,0.75212705,0.8370732,0.65639293,0.77953285,0.35808334,0.5181019,0.73552054,0.6668639,0.47005644,0.7219296,0.7023575,0.47887757,0.7051493,0.581798,0.5820406,0.5781349,0.877154,0.5136784,0.7893567,0.34668645,0.8335511,0.67856073,0.76250494,0.6538325,0.60538644,0.5652202,0.62078583,0.8447401,0.86398965,0.6689136,0.48095173,0.8286218,0.61815405,0.7174265,0.4588056,0.3930896,0.7055534,0.6631567,0.68526363,0.5276976,0.8233205,0.9741336,0.9203116,0.71916986,0.58331865,0.5684728,0.45656413,0.654363,0.5271435,0.62362206,0.6237771,0.7787911,0.59367716,0.7069476,0.79410857,0.7776308,0.45079705,0.7931061,0.95850146,0.4952374,0.75579405,0.7546774,0.7034719,0.89968246,0.7287549,0.6747461,0.62383884,0.6943193,0.74059236,0.6436309,0.7389316,0.7154719,0.430067,0.5833483,0.8485374,0.36181226,0.7573098,0.76259494,0.72078246,0.5165635,0.5386691,0.3961185,0.53115183,0.33580965,0.5559408,0.4582009,0.7343884,0.9175596,0.2150914,0.5058979,0.35046458,0.6456841,0.8715794,0.87260175,0.5333512,0.6691359,0.767218,0.2409802,0.7254707,0.38624358,0.29016167,0.87375957,0.59770936,0.7725872,0.5310472,0.85822326,0.54104185,0.5204829,0.49543533,0.73938435,0.80460316,0.6406472,0.88339096,0.91421413,0.7817314,0.7218041,0.7892245,0.8799111,0.67916363,0.69320863,0.683237,0.7099512,0.49570847
Stmn2,0.4726946,0.62301254,0.19606315,0.57690865,0.45284405,0.69645846,0.49780318,0.48519552,0.20645659,0.4975354,0.3117762,0,0.47549787,0.59688854,0.3516944,0.51013607,0.59263414,0.61374456,0.5201868,0.53677285,0.43958363,0.60779405,0.14440416,0.33884996,0.5531366,0.38711834,0.5233217,0,0,0.4044783,0.20427024,0.20777413,0.5481233,0.33700922,0.54903287,0.55782515,0.41436502,0.63167536,0.65354294,0.64148796,0.4439703,0.5596021,0.45778832,0.44013587,0.53200793,0.47996074,0.6542827,0.60681194,0.4348217,0.5611511,0.48910928,0.18760629,0.5171697,0.653872,0.5197979,0.5872791,0.5524315,0.63639367,0.6218035,0.6301423,0.59283024,0.71294963,0.5819152,0.43478924,0.5981187,0.56091917,0.37987074,0.55155224,0.65996486,0.15649235,0.37187538,0,0.6573706,0.41671786,0.57702196,0.47984955,0.568869,0.2038689,0.57718,0.48153523,0.64530015,0.5794337,0.5295691,0.48813784,0.15852216,0.29435185,0.29977426,0.20874433,0.3275881,0.48214808,0.48790738,0.50553626,0.5193974,0.58023864,0.6257051,0.69646794,0.2685777,0.59158033,0.62926084,0.7377404,0.67362446,0.43171632,0.6015552,0.55357075,0.62937444,0.45546025,0.6635586,0.614323,0.2996883,0.41441327,0.44191295,0.41685337,0.50460696,0.66932243,0.5287694,0.6141054,0.8053826,0.6761451,0.4226656,0.44896176,0.5418408,0.60709065,0.46398115,0.5466307,0.46457127,0.49313512,0.6445947,0.577999,0.7221943,0.54031986,0.53786457,0.403954,0.63337183,0.40949222,0.6053479,0.57237226,0.66905236,0.42396066,0.5720063,0.56875074,0.36445493,0.5518884,0.46094188,0.61260146,0.6156335,0.53158504,0.2702503,0.44887775,0.52828723,0.5281391,0.5041712,0.3499849,0.3585642,0.24018776,0.48355487,0.6043841,0.38193437,0.6240452,0.40710798,0.37822324,0.43843424,0.63069284,0.6262427,0.70138955,0.7643274,0.474898,0.5710684,0.59332305,0.6300048,0.6053093,0.48125377,0.42320985,0.3814455,0.59695965,0
Myc,0.47877964,0.57380724,0.62089926,0.41983664,0.6891745,0.70478356,0.24332727,0.6183789,0.20645659,0.5260022,0.27689254,0.25092646,0,0.454795,0.5603763,0.2787756,0.5604009,0.42373392,0.6201632,0.548327,0.47904077,0.6531833,0.14440416,0.25972065,0.5051499,0.324548,0.58873045,0.2157696,0.4672459,0.45080337,0.558203,0.6057714,0.574736,0.29616326,0.25396118,0.5658868,0.51563925,0.40872326,0,0.5027941,0.67291397,0.4819472,0.77773243,0.35411865,0.6707561,0,0.50841683,0.6255561,0.75455374,0.55605626,0.2937858,0.36564562,0.64570194,0.26638532,0.66475534,0.5898266,0.61770487,0.56020546,0.23539151,0.2711578,0.29291126,0.5735965,0.75185364,0.2367652,0.27086198,0.45629323,0.65356904,0.7119061,0.50704527,0.5395468,0.40346316,0.47376972,0.48728392,0.49913394,0.750001,0.4463139,0.568869,0.386785,0.6455796,0.14567293,0.700596,0.46984696,0.68137264,0.53126436,0.3727647,0.37855938,0.40224186,0.36598095,0.6418633,0.68697006,0.5333562,0.49938014,0.38278142,0.6567789,0.61713547,0.7170661,0.40295655,0.35172483,0.7614855,0.70125306,0.60123736,0.5314986,0.70944315,0.57387054,0.6537213,0.3970643,0.40013438,0.29868126,0.6036486,0.5610333,0.23350568,0.3299091,0.42409313,0.18010116,0.68217736,0.71776086,0.79111767,0.45122725,0.4226656,0.70333916,0.4626546,0.6393005,0.5082103,0.30587533,0.41631493,0.5833483,0.5781518,0.5132153,0.49944207,0.33119386,0.41723737,0.5165635,0.6130902,0.61383504,0.67763114,0.68016547,0.5390076,0.30822316,0.6447773,0.67757314,0.14608787,0.6360417,0.42415154,0.60968393,0.5487643,0.4725879,0.3163376,0.5453259,0.44270217,0.58740693,0.53885543,0.38624358,0,0.16823234,0.6174425,0.7186946,0.28128836,0.71360993,0.57348526,0.39316365,0.6307521,0.5753174,0.61149734,0.6212207,0.67362803,0.80951107,0.62073845,0.6228766,0.72460204,0.6351412,0.6679674,0.582706,0.5141876,0.5711632,0.67270863
Nes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
